,Item_Identifier,Outlet_Identifier,item_outlet_sales
0,FDW58,OUT049,974.6139999999999
1,FDW14,OUT017,1666.16
2,NCN55,OUT010,1467.22
3,FDQ58,OUT017,1962.8756161616163
4,FDY38,OUT027,1685.84
5,FDH56,OUT046,1933.47
6,FDL48,OUT018,2369.545452404708
7,FDC48,OUT027,1801.086476190476
8,FDN33,OUT045,1201.7166666666665
9,FDA36,OUT017,1569.58
10,FDT44,OUT017,314.14
11,FDQ56,OUT045,311.8805431956582
12,NCC54,OUT019,1952.73
13,FDU11,OUT049,966.34
14,DRL59,OUT013,1544.8136666666667
15,FDM24,OUT049,2505.57
16,FDI57,OUT045,1108.64
17,DRC12,OUT018,1030.185
18,NCM42,OUT027,2008.4085000000005
19,FDA46,OUT010,2324.6681142058906
20,FDA31,OUT013,1699.61
21,NCJ31,OUT035,1979.1541666666665
22,FDG52,OUT046,1443.4743333333336
23,NCL19,OUT019,1897.1266666666668
24,FDS10,OUT035,1903.12
25,FDX22,OUT010,1933.7368290447093
26,NCF19,OUT035,205.24974698869454
27,NCE06,OUT046,1866.3533333333332
28,DRC27,OUT046,2245.8466666666664
29,FDE21,OUT035,2454.85
30,NCR42,OUT019,1096.97
31,FDX51,OUT018,1330.89
32,NCR06,OUT018,1662.025
33,FDU31,OUT027,1879.43
34,FDU59,OUT017,268.84904748029754
35,FDR03,OUT027,1071.0425
36,FDS49,OUT027,980.49
37,FDD48,OUT010,1977.2083333333335
38,NCF18,OUT017,1218.61
39,NCD43,OUT027,1670.7278333333334
40,NCD54,OUT018,209.82421623148093
41,FDY19,OUT010,1126.93
42,NCY54,OUT017,1710.7135714285716
43,NCL19,OUT018,1798.505
44,FDP23,OUT010,1775.55
45,FDC26,OUT013,1068.87
46,FDR14,OUT010,1288.61
47,NCS41,OUT035,750.51
48,FDF41,OUT035,878.6249523809528
49,FDU34,OUT046,1273.35
50,DRH11,OUT046,1311.4575
51,FDM03,OUT013,1323.139976190476
52,FDS31,OUT017,1089.628
53,FDJ20,OUT017,278.1674330489773
54,FDV44,OUT027,919.4
55,FDG02,OUT049,1834.796666666667
56,FDA09,OUT013,2919.35
57,FDT04,OUT013,1600.06
58,FDL58,OUT019,941.73
59,FDE52,OUT045,1993.82
60,FDW12,OUT035,1075.865
61,FDL51,OUT017,482.8126295631084
62,NCY42,OUT027,637.6725
63,FDR07,OUT017,2209.7689742919274
64,FDN40,OUT045,1933.7368290447093
65,FDB35,OUT027,1290.58
66,FDA22,OUT017,1617.1753333333336
67,NCL06,OUT046,2027.818
68,FDI35,OUT013,1442.68
69,NCW42,OUT045,1418.51
70,NCX06,OUT049,1301.49
71,FDC37,OUT027,267.9167368914868
72,FDZ14,OUT018,2141.3675
73,DRG49,OUT049,1972.89
74,NCG06,OUT045,1181.5749999999998
75,DRC36,OUT045,1902.98
76,FDV21,OUT019,2369.545452404708
77,FDB53,OUT046,1399.07
78,DRP47,OUT019,2015.02
79,FDA14,OUT013,1688.87
80,DRC24,OUT035,1237.36
81,FDW21,OUT018,2416.421413970519
82,NCH29,OUT046,1581.344
83,FDU58,OUT013,2425.5100069048603
84,FDY27,OUT017,2172.01
85,FDV56,OUT035,1846.7388333333333
86,FDT59,OUT046,1841.52
87,FDB23,OUT046,2077.23
88,FDR49,OUT045,1797.4771666666666
89,FDB03,OUT010,2324.6681142058906
90,FDN39,OUT045,2613.6938168618817
91,FDX02,OUT027,1075.2583333333332
92,FDQ16,OUT027,1405.2225000000003
93,FDU35,OUT018,1989.09
94,NCT29,OUT013,1738.35
95,FDZ27,OUT046,1273.8066666666666
96,FDN57,OUT017,1810.43
97,FDA03,OUT018,1491.2975
98,FDZ36,OUT045,1584.9675
99,NCU05,OUT013,192.74
100,FDT39,OUT018,1823.836
101,FDK60,OUT017,2121.55
102,FDZ25,OUT017,1935.764
103,FDG12,OUT046,1811.42
104,DRB01,OUT019,2025.8883333333333
105,NCC43,OUT027,1160.7733333333333
106,FDX13,OUT019,1296.64
107,FDM22,OUT049,1992.4983333333334
108,FDJ03,OUT027,1962.736666666667
109,FDU14,OUT018,1342.43
110,FDB33,OUT010,1544.75
111,FDP27,OUT046,1211.85
112,FDO38,OUT010,2599.3830000000003
113,FDE28,OUT027,2613.6938168618817
114,FDO27,OUT035,252.70874156006602
115,DRL23,OUT027,1025.23
116,FDS28,OUT046,1891.75011722064
117,FDX24,OUT013,327.1013141555609
118,FDZ02,OUT035,1890.76
119,FDL46,OUT045,1757.175
120,FDS60,OUT027,993.97
121,NCO06,OUT017,1454.275
122,FDO16,OUT035,1164.8271666666667
123,FDC60,OUT049,1336.5116666666668
124,FDA48,OUT018,1908.3197142857139
125,FDZ36,OUT027,2086.9335714285717
126,FDK27,OUT045,342.6539840225564
127,FDW23,OUT018,2407.735
128,FDM14,OUT018,1887.0348333333336
129,FDM14,OUT013,1515.799166666667
130,FDW60,OUT018,395.5030072895372
131,FDE21,OUT013,1128.59
132,NCM42,OUT035,1284.36
133,FDY59,OUT010,1869.6825
134,DRI49,OUT049,1817.835
135,FDT28,OUT019,2130.839003251454
136,FDQ22,OUT018,1923.9
137,FDR60,OUT049,1330.41
138,FDC50,OUT019,1335.5595
139,FDV24,OUT013,1974.9426666666666
140,DRF48,OUT010,2324.6681142058906
141,FDQ47,OUT046,3025.01
142,DRN36,OUT049,1559.05
143,NCY06,OUT035,1935.91
144,FDE52,OUT035,2189.406
145,NCB54,OUT045,1737.122
146,NCF31,OUT035,2869.186666666667
147,FDJ08,OUT027,1753.205
148,NCC07,OUT017,2181.02
149,NCD19,OUT027,1000.17
150,FDL46,OUT049,291.23985477864926
151,FDM20,OUT045,945.735
152,NCI06,OUT010,1662.8930952380952
153,DRM11,OUT035,1509.045
154,NCH07,OUT018,252.6107619047619
155,FDS23,OUT013,2304.36239640009
156,FDO49,OUT018,272.0709082464175
157,FDS35,OUT049,1852.1666666666665
158,DRK39,OUT045,1667.80075
159,DRI39,OUT049,1518.52
160,FDV04,OUT017,272.0709082464175
161,NCN14,OUT035,1218.4225
162,FDH08,OUT013,1122.2016666666668
163,FDS20,OUT046,1078.0291666666667
164,FDV40,OUT049,1683.4312591575092
165,FDZ48,OUT010,1674.505
166,FDS24,OUT027,2398.114075809984
167,FDK44,OUT049,1339.5439999999999
168,FDS48,OUT045,1404.05
169,FDK26,OUT010,1564.516
170,FDD23,OUT045,2398.114075809984
171,NCH54,OUT017,1628.872
172,NCP14,OUT010,1594.915
173,FDM60,OUT010,329.0570271219489
174,FDV24,OUT017,1746.805
175,FDH08,OUT018,1956.6162393566037
176,FDS12,OUT027,1770.96
177,FDR39,OUT027,1174.2033333333334
178,FDP12,OUT027,2021.81
179,DRF60,OUT027,1430.73
180,FDC09,OUT035,357.18
181,FDF50,OUT018,269.562852582846
182,FDG28,OUT035,1419.92
183,NCE19,OUT017,2398.114075809984
184,NCM53,OUT010,1599.6
185,NCN18,OUT049,2425.5100069048603
186,FDF32,OUT035,226.48665293942378
187,FDF11,OUT013,1394.7220000000002
188,DRI59,OUT049,1933.7368290447093
189,NCG54,OUT035,1012.0306666666667
190,FDM44,OUT046,988.59
191,FDT57,OUT018,1373.26
192,FDV24,OUT046,1374.23
193,FDI50,OUT019,945.735
194,FDS09,OUT035,1533.51
195,NCC31,OUT027,1789.2325
196,FDQ07,OUT019,1002.84
197,FDC22,OUT017,1631.5
198,FDZ56,OUT046,2076.777
199,FDZ40,OUT019,1717.773333333333
200,FDS46,OUT027,2179.26
201,DRD24,OUT045,1504.8788333333332
202,FDV45,OUT017,1303.91
203,FDL26,OUT045,2352.052794496997
204,FDA56,OUT018,1627.3366666666666
205,FDN27,OUT046,2352.485
206,FDM20,OUT049,1396.03
207,FDO16,OUT017,1486.5000000000002
208,FDL03,OUT035,1165.21
209,FDE58,OUT046,1554.76
210,FDI02,OUT027,1658.38
211,NCC55,OUT019,1740.2125
212,FDR03,OUT018,1260.154
213,FDB14,OUT017,1929.38
214,FDR45,OUT013,1568.7764523809528
215,NCN07,OUT017,318.5847154268317
216,FDM51,OUT019,2483.62
217,FDT52,OUT027,2398.114075809984
218,FDL26,OUT046,1786.99
219,NCZ42,OUT046,2151.8295213749957
220,DRI47,OUT019,2169.35
221,FDW40,OUT013,2425.45
222,FDN34,OUT046,2304.36239640009
223,FDS01,OUT035,1887.07
224,NCG55,OUT045,1344.3856666666666
225,FDC11,OUT035,2613.6938168618817
226,FDX35,OUT018,1433.02
227,NCB06,OUT046,2435.62
228,FDR09,OUT019,1270.03
229,FDC53,OUT017,2243.9114407792918
